"election_id","gss","name","slug","start_date","end_date","territory_code","organisation_type"
"pcc.hampshire.2016-05-05","E23000030","Hampshire Constabulary","hampshire","2012-11-15",,"ENG","police-area"
"pcc.hampshire.2020-05-07","E23000030","Hampshire Constabulary","hampshire","2012-11-15",,"ENG","police-area"
"pcc.lincolnshire.2016-05-05","E23000020","Lincolnshire Police","lincolnshire","2012-11-15",,"ENG","police-area"
"pcc.lincolnshire.2020-05-07","E23000020","Lincolnshire Police","lincolnshire","2012-11-15",,"ENG","police-area"
"pcc.durham.2016-05-05","E23000008","Durham Constabulary","durham","2012-11-15",,"ENG","police-area"
"pcc.durham.2020-05-07","E23000008","Durham Constabulary","durham","2012-11-15",,"ENG","police-area"
"pcc.staffordshire.2016-05-05","E23000015","Staffordshire Police","staffordshire","2012-11-15",,"ENG","police-area"
"pcc.staffordshire.2020-05-07","E23000015","Staffordshire Police","staffordshire","2012-11-15",,"ENG","police-area"
"pcc.nottinghamshire.2016-05-05","E23000019","Nottinghamshire Police","nottinghamshire","2012-11-15",,"ENG","police-area"
"pcc.nottinghamshire.2020-05-07","E23000019","Nottinghamshire Police","nottinghamshire","2012-11-15",,"ENG","police-area"
"pcc.cumbria.2016-05-05","E23000002","Cumbria Constabulary","cumbria","2012-11-15",,"ENG","police-area"
"pcc.cumbria.2020-05-07","E23000002","Cumbria Constabulary","cumbria","2012-11-15",,"ENG","police-area"
"pcc.lancashire.2016-05-05","E23000003","Lancashire Constabulary","lancashire","2012-11-15",,"ENG","police-area"
"pcc.lancashire.2020-05-07","E23000003","Lancashire Constabulary","lancashire","2012-11-15",,"ENG","police-area"
"pcc.leicestershire.2016-05-05","E23000021","Leicestershire Police","leicestershire","2012-11-15",,"ENG","police-area"
"pcc.leicestershire.2020-05-07","E23000021","Leicestershire Police","leicestershire","2012-11-15",,"ENG","police-area"
"pcc.bedfordshire.2016-05-05","E23000026","Bedfordshire Police","bedfordshire","2012-11-15",,"ENG","police-area"
"pcc.bedfordshire.2020-05-07","E23000026","Bedfordshire Police","bedfordshire","2012-11-15",,"ENG","police-area"
"pcc.south-wales.2016-05-05","W15000003","South Wales Police","south-wales","2012-11-15",,"WLS","police-area"
"pcc.south-wales.2020-05-07","W15000003","South Wales Police","south-wales","2012-11-15",,"WLS","police-area"
"pcc.merseyside.2016-05-05","E23000004","Merseyside Police","merseyside","2012-11-15",,"ENG","police-area"
"pcc.merseyside.2020-05-07","E23000004","Merseyside Police","merseyside","2012-11-15",,"ENG","police-area"
