ynmp_id,candidate_id
18015,1285
13894,6233
3155,2802
3461,2803
3466,2807
3469,2810
3893,2815
3895,2816
3982,2606
17945,2817
20699,2819
20700,2820
20701,2821
24740,2826
2925,283
4590,3513
4495,2833
24533,871
3307,2841
16921,2853
21093,1510
17032,2857
17020,2858
3686,2864
3154,2865
4380,2881
3709,2882
3705,2887
3706,2888
23380,289
3192,2890
24591,2896
17754,2897
12569,29
23379,290
17744,2901
17759,2904
23387,291
23382,292
25668,2921
25766,2923
13021,2926
24215,2927
24217,2928
24197,2929
24196,2932
24214,2934
24210,2936
25667,2938
21049,2939
4227,2942
3901,2944
3910,2949
23408,295
23099,2953
23097,2954
23088,2956
23086,2958
23096,2959
23407,296
2749,2960
2751,2962
23811,2963
23807,2965
23808,2966
23802,2967
23803,2968
23814,2971
25665,2973
17163,2979
13003,2981
17133,2982
16063,2984
15948,2985
24970,2986
13000,2987
23471,2989
3871,299
23460,2990
23482,2992
23475,2993
17071,2995
4202,1986
24944,2999
21236,300
17038,3000
21003,3002
21027,3004
21013,3007
13725,3010
12780,3018
12784,3019
12785,3020
24984,3022
24978,3023
24977,3024
24976,3025
4605,3027
21175,3031
4596,3034
4598,3036
21169,3037
3542,3038
3537,3050
2833,306
13601,3061
13602,3062
19874,3070
19863,3071
19853,3073
19869,3076
25592,3081
25591,3082
24874,3084
25588,3085
25587,3086
4714,3087
25584,3089
25583,3090
25586,3091
24536,3097
16849,3099
2826,310
20785,3101
20775,3102
20770,3103
20724,3105
20721,3106
3183,3108
2830,311
20786,3110
4848,3117
14407,3118
14423,3119
14448,3125
3250,3126
3247,3129
4504,3130
3244,3131
4502,3132
3492,3137
3665,3138
3669,3140
3667,3141
3672,3142
3670,3143
16846,3146
4376,3147
4373,3150
24589,3157
24588,3158
3695,3161
3090,3162
24579,3166
24582,3167
24581,3168
24585,3169
24583,3170
17764,3176
17767,3179
2849,318
4416,3180
3030,522
12078,3938
23415,297
3544,2752
2707,59
3077,3454
2419,4106
4206,422
2809,3863
14093,4035
15614,35058
4555,3701
14145,542
13741,1224
3931,2235
4181,1004
19004,1005
19072,1007
19062,1010
24189,1077
4193,1012
19078,1013
4861,1017
4410,1019
4757,102
2891,1025
4759,103
4066,1030
25571,1034
4514,1045
16854,1047
16852,1048
4756,105
16847,1051
3614,1060
24188,1076
19408,4057
2756,1063
3611,1065
3876,1075
17384,1079
24182,1081
24634,1087
24621,1089
24622,1090
24616,1092
24617,1093
24618,1094
24619,1095
2907,1097
21262,1112
3742,1115
14196,1118
13406,112
14206,1121
24942,1128
24156,1143
12994,1145
4558,1146
17777,115
25640,1154
2661,1159
12990,1161
4784,1162
2376,1171
4112,1172
2554,1178
2553,1180
2549,1181
2550,1182
3096,104
24436,8510
3590,1183
25270,1186
25275,1187
25274,1188
25264,1189
21130,119
25263,1190
25266,1192
4845,1197
2526,1198
23372,12
20374,120
4833,1205
13457,1209
20373,121
13458,1210
13442,1214
4563,1216
13446,1218
13715,122
13737,1220
13738,1221
13743,1222
13745,1223
24342,1226
3832,1227
13747,1228
19179,1229
19125,1231
4542,1235
4540,1237
21235,1239
13710,124
4545,1242
2798,1244
21232,1246
12841,1247
12840,1250
12838,1252
12835,1253
3511,1255
3508,1257
3507,1258
3515,1259
13713,126
3514,1260
13674,1523
13675,1525
18179,1568
24149,1139
24954,2
17393,1263
4662,1266
13714,127
13705,128
17956,1280
17951,1281
18016,1284
3388,1289
3384,1295
23378,13
3812,1300
12112,1302
4528,1304
4176,1310
18720,1312
18548,1313
18445,1320
2652,1332
3353,1333
24577,1334
12847,1335
12075,3645
2410,3235
23360,5
2404,2292
14377,1685
3485,1851
12105,360
2988,1651
4880,3816
2660,1158
3927,1336
3764,1340
12852,1341
3758,1342
3930,1343
3760,1348
24386,1351
24385,1353
13984,1354
16723,1360
16738,1361
3503,1366
2994,1371
2993,1372
3593,1374
3128,1377
3126,1378
3124,1380
3129,1384
24151,1385
3137,1387
3135,1388
24164,1389
12077,34744
2484,139
24157,1390
24615,1393
24614,1394
24613,1395
24612,1396
24611,1397
24609,1399
3088,14
24608,1400
24607,1401
24602,1402
14307,1403
14320,1407
14318,1408
14369,1410
25062,1413
17886,1415
17891,1418
21875,1422
